ID,Latitude,Longitude,State,Franchisee
9353,38.978838,-76.541709,Texas,Steven T. Palmer
9354,39.65409,-78.760613,Maryland,Charles L. Malament
9355,39.655608,-78.926228,Maryland,Charles L. Malament
9356,39.521349,-77.65959,Maryland,Michael W. Clise
9357,38.83186,-76.941693,Maryland,Malcolm Carter
9360,33.423392,-96.588912,Texas,Steven T. Palmer
9361,30.307784,-97.920868,Texas,Christopher J. Pallagi
9362,27.795914,-97.433801,Texas,Daniel W. Jr. Dain
9363,28.036332,-97.516213,Texas,Daniel W. Jr. Dain
9364,27.599471,-97.223033,Texas,Daniel W. Jr. Dain
9365,30.20013,-97.8685,Texas,Dain F. Funderburg
9366,27.710391,-97.406583,Texas,Daniel W. Jr. Dain
9370,46.238316,-114.15449,Montana,Jeremy Matthew McMillan
9371,32.62811,-97.13506,Texas,Dennis L. Mayhall
9372,30.33659,-97.71822,Texas,Kristopher John Sanches
9373,29.36574,-98.44078,Texas,Alan D. Murph
9374,26.25441,-98.31849,Texas,Fernando Salido
9375,32.87793,-97.42649,Texas,Dennis L. Mayhall
9376,29.573588,-95.283618,Texas,Dennis L. Mayhall
9377,31.109126,-99.332727,Texas,Dain F. Funderburg
9378,29.965567,-95.540954,Texas,Dain F. Funderburg
9379,33.002626,-96.978728,Texas,Michael Corey McKanna
9381,31.46496,-97.11241,Texas,Dennis L. Mayhall
9382,29.34418,-99.12863,Texas,Michael P Bernal
9383,29.603555,-98.223468,Texas,Alan D. Murph
9384,29.66356,-98.04985,Texas,Alan D. Murph
9385,45.406493,-122.677333,Oregon,Alaura Heather Jones
9386,44.524592,-122.907246,Oregon,Troy C. Hamilton
9387,43.990924,-124.102301,Oregon,Jerry D. Hodges
9389,45.74058,-122.87896,Oregon,Jeromy Ashdown
9390,45.428835,-122.831529,Oregon,Troy C. Hamilton
9391,45.546159,-122.711536,Oregon,Andrew Davis McDowell
9392,44.87172,-123.022786,Oregon,Timothy R. Hammer
9393,44.94805,-123.05341,Oregon,Timothy R. Hammer
9394,46.147,-123.9155,Oregon,Patrick D. Farmer
9395,44.63625,-124.053586,Oregon,Patrick D. Farmer
9396,45.38247,-122.748278,Oregon,Troy C. Hamilton
9397,45.005822,-122.79327,Oregon,Troy C. Hamilton
